,chapter_no,topic_no,topic_prob
131,2146.0,1.0,0.02236883163451016
132,2146.0,2.0,0.01755440913406644
133,2146.0,3.0,0.035335073948644026
134,2146.0,4.0,0.033156856351432985
135,2146.0,5.0,0.024653954288380565
136,2146.0,6.0,0.0188114442917948
137,2146.0,7.0,0.02372764908194283
138,2146.0,8.0,0.01733226341511642
139,2146.0,9.0,0.020523422358718308
140,2147.0,0.0,0.059785367709921204
141,2147.0,1.0,0.021793195491422175
142,2147.0,2.0,0.012707827207185853
143,2147.0,3.0,0.03175899133165965
144,2147.0,4.0,0.021889462109696448
145,2147.0,5.0,0.0005615555933462049
146,2147.0,6.0,0.024682980866123114
147,2147.0,7.0,0.012138613110450357
148,2147.0,8.0,0.02661748462176594
149,2147.0,9.0,0.008833096731018189
150,2148.0,0.0,0.039688972109617075
151,2148.0,1.0,0.03344265586753416
152,2148.0,2.0,0.01787834442725902
153,2148.0,3.0,0.027982606280866573
154,2148.0,4.0,0.02192331508286031
155,2148.0,5.0,0.010802324796742641
156,2148.0,6.0,0.03590558766975243
157,2148.0,7.0,0.01776958995455863
158,2148.0,8.0,0.018196865060059485
159,2148.0,9.0,0.022347997089830738
160,2149.0,0.0,0.03855961181569232
161,2149.0,1.0,0.020024065148338724
162,2149.0,2.0,0.020941042557112193
163,2149.0,3.0,0.04388780903571848
164,2149.0,4.0,0.02490282829476666
165,2149.0,5.0,0.007580168914771492
166,2149.0,6.0,0.012184627885124416
167,2149.0,7.0,0.013243599182687926
168,2149.0,8.0,0.017203434370462563
169,2149.0,9.0,0.02180761029214984
170,2150.0,0.0,0.05668438219187007
171,2150.0,1.0,0.029043819777645356
172,2150.0,2.0,0.0215833225183578
173,2150.0,3.0,0.03580178378689083
174,2150.0,4.0,0.031356283134607234
175,2150.0,5.0,0.011550281960903068
176,2150.0,6.0,0.02915296054358276
177,2150.0,7.0,0.023583953566359745
178,2150.0,8.0,0.03302833367541721
179,2150.0,9.0,0.021262511791758355
180,2153.0,0.0,0.05339911638783002
181,2153.0,1.0,0.04372779816416865
182,2153.0,2.0,0.015882747882292006
183,2153.0,3.0,0.030327603196685485
184,2153.0,4.0,0.032125316702983124
185,2153.0,5.0,0.007496068897059599
186,2153.0,6.0,0.02383923284468225
187,2153.0,7.0,0.018132997825814286
188,2153.0,8.0,0.025475487857406155
189,2153.0,9.0,0.015554590865726952
190,2155.0,0.0,0.029127504505755516
191,2155.0,1.0,0.019105726546978157
192,2155.0,2.0,0.010198320013086928
193,2155.0,3.0,0.03943065244542476
194,2155.0,4.0,0.023883643297410204
195,2155.0,5.0,0.012969143011810517
196,2155.0,6.0,0.03136274882469495
197,2155.0,7.0,0.00953739697623225
198,2155.0,8.0,0.005808096061704837
199,2155.0,9.0,0.024078336695603064
200,2156.0,0.0,0.04768119962049146
201,2156.0,1.0,0.0287780532967229
202,2156.0,2.0,0.0137793857021661
203,2156.0,3.0,0.031009410682865106
204,2156.0,4.0,0.02536440688117113
